cell_id,T_K,T_full,csem_w,terminal_kl_w,score_head_loss_w,outer_time_weighting,head_time_weighting,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
00,0.00,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_0p00
01,0.25,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_0p25
02,0.50,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_0p50
03,0.75,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_0p75
04,1.00,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_1p00
05,1.25,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_1p25
06,1.50,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_1p50
07,1.75,1.75,0.10,0.30,1.0,canonical,unweighted-eps,500,100,50,10000,3.0,TK_1p75
