cell_id,seed,T_K,T_full,delta_T,csem_w,terminal_kl_w,epochs,refine_epochs,eval_samples,cfg_grid,rk4_steps,nfe_grid,temperature,result_name
0,42,1.05,1.35,0.30,0.05,0.60,500,0,10000,"2.0,2.5,3.0,3.5,4.0","18,25,40","72,100,160",1.0,fresh500_bestgeom_s42
1,43,1.05,1.35,0.30,0.05,0.60,500,0,10000,"2.0,2.5,3.0,3.5,4.0","18,25,40","72,100,160",1.0,fresh500_bestgeom_s43
