config_id,bundle_id,slot_in_bundle,outer_time_weighting,head_time_weighting,rep_weight,lr_score_head,score_head_loss_w,T_terminal,epochs,refine_epochs,eval_every,eval_samples,cfg_strength,result_name
036,06,0,unweighted-eps,canonical,0.05,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_036_ou_hc_lam0p05_lr1em04
037,06,1,unweighted-eps,canonical,0.1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_037_ou_hc_lam0p10_lr1em04
038,06,2,unweighted-eps,canonical,0.2,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_038_ou_hc_lam0p20_lr1em04
039,06,3,unweighted-eps,canonical,0.4,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_039_ou_hc_lam0p40_lr1em04
040,06,4,unweighted-eps,canonical,0.6,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_040_ou_hc_lam0p60_lr1em04
041,06,5,unweighted-eps,canonical,1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_041_ou_hc_lam1p00_lr1em04
042,07,0,unweighted-eps,canonical,0.05,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_042_ou_hc_lam0p05_lr2em04
043,07,1,unweighted-eps,canonical,0.1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_043_ou_hc_lam0p10_lr2em04
044,07,2,unweighted-eps,canonical,0.2,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_044_ou_hc_lam0p20_lr2em04
045,07,3,unweighted-eps,canonical,0.4,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_045_ou_hc_lam0p40_lr2em04
046,07,4,unweighted-eps,canonical,0.6,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_046_ou_hc_lam0p60_lr2em04
047,07,5,unweighted-eps,canonical,1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_047_ou_hc_lam1p00_lr2em04
048,08,0,unweighted-eps,canonical,0.05,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_048_ou_hc_lam0p05_lr4em04
049,08,1,unweighted-eps,canonical,0.1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_049_ou_hc_lam0p10_lr4em04
050,08,2,unweighted-eps,canonical,0.2,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_050_ou_hc_lam0p20_lr4em04
051,08,3,unweighted-eps,canonical,0.4,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_051_ou_hc_lam0p40_lr4em04
052,08,4,unweighted-eps,canonical,0.6,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_052_ou_hc_lam0p60_lr4em04
053,08,5,unweighted-eps,canonical,1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_053_ou_hc_lam1p00_lr4em04
054,09,0,unweighted-eps,canonical,0.05,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_054_ou_hc_lam0p05_lr8em04
055,09,1,unweighted-eps,canonical,0.1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_055_ou_hc_lam0p10_lr8em04
056,09,2,unweighted-eps,canonical,0.2,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_056_ou_hc_lam0p20_lr8em04
057,09,3,unweighted-eps,canonical,0.4,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_057_ou_hc_lam0p40_lr8em04
058,09,4,unweighted-eps,canonical,0.6,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_058_ou_hc_lam0p60_lr8em04
059,09,5,unweighted-eps,canonical,1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_059_ou_hc_lam1p00_lr8em04
060,10,0,canonical,unweighted-eps,0.05,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_060_oc_hu_lam0p05_lr5em05
061,10,1,canonical,unweighted-eps,0.1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_061_oc_hu_lam0p10_lr5em05
062,10,2,canonical,unweighted-eps,0.2,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_062_oc_hu_lam0p20_lr5em05
063,10,3,canonical,unweighted-eps,0.4,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_063_oc_hu_lam0p40_lr5em05
064,10,4,canonical,unweighted-eps,0.6,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_064_oc_hu_lam0p60_lr5em05
065,10,5,canonical,unweighted-eps,1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_065_oc_hu_lam1p00_lr5em05
066,11,0,canonical,unweighted-eps,0.05,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_066_oc_hu_lam0p05_lr1em04
067,11,1,canonical,unweighted-eps,0.1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_067_oc_hu_lam0p10_lr1em04
068,11,2,canonical,unweighted-eps,0.2,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_068_oc_hu_lam0p20_lr1em04
069,11,3,canonical,unweighted-eps,0.4,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_069_oc_hu_lam0p40_lr1em04
070,11,4,canonical,unweighted-eps,0.6,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_070_oc_hu_lam0p60_lr1em04
071,11,5,canonical,unweighted-eps,1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_071_oc_hu_lam1p00_lr1em04
072,12,0,canonical,unweighted-eps,0.05,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_072_oc_hu_lam0p05_lr2em04
073,12,1,canonical,unweighted-eps,0.1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_073_oc_hu_lam0p10_lr2em04
074,12,2,canonical,unweighted-eps,0.2,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_074_oc_hu_lam0p20_lr2em04
075,12,3,canonical,unweighted-eps,0.4,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_075_oc_hu_lam0p40_lr2em04
076,12,4,canonical,unweighted-eps,0.6,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_076_oc_hu_lam0p60_lr2em04
077,12,5,canonical,unweighted-eps,1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_077_oc_hu_lam1p00_lr2em04
078,13,0,canonical,unweighted-eps,0.05,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_078_oc_hu_lam0p05_lr4em04
079,13,1,canonical,unweighted-eps,0.1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_079_oc_hu_lam0p10_lr4em04
080,13,2,canonical,unweighted-eps,0.2,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_080_oc_hu_lam0p20_lr4em04
081,13,3,canonical,unweighted-eps,0.4,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_081_oc_hu_lam0p40_lr4em04
082,13,4,canonical,unweighted-eps,0.6,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_082_oc_hu_lam0p60_lr4em04
083,13,5,canonical,unweighted-eps,1,0.0004,1.0,1.50,120,0,60,2000,3.0,cfg_083_oc_hu_lam1p00_lr4em04
084,14,0,canonical,unweighted-eps,0.05,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_084_oc_hu_lam0p05_lr8em04
085,14,1,canonical,unweighted-eps,0.1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_085_oc_hu_lam0p10_lr8em04
086,14,2,canonical,unweighted-eps,0.2,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_086_oc_hu_lam0p20_lr8em04
087,14,3,canonical,unweighted-eps,0.4,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_087_oc_hu_lam0p40_lr8em04
088,14,4,canonical,unweighted-eps,0.6,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_088_oc_hu_lam0p60_lr8em04
089,14,5,canonical,unweighted-eps,1,0.0008,1.0,1.50,120,0,60,2000,3.0,cfg_089_oc_hu_lam1p00_lr8em04
090,15,0,canonical,canonical,0.05,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_090_oc_hc_lam0p05_lr5em05
091,15,1,canonical,canonical,0.1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_091_oc_hc_lam0p10_lr5em05
092,15,2,canonical,canonical,0.2,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_092_oc_hc_lam0p20_lr5em05
093,15,3,canonical,canonical,0.4,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_093_oc_hc_lam0p40_lr5em05
094,15,4,canonical,canonical,0.6,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_094_oc_hc_lam0p60_lr5em05
095,15,5,canonical,canonical,1,5e-05,1.0,1.50,120,0,60,2000,3.0,cfg_095_oc_hc_lam1p00_lr5em05
096,16,0,canonical,canonical,0.05,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_096_oc_hc_lam0p05_lr1em04
097,16,1,canonical,canonical,0.1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_097_oc_hc_lam0p10_lr1em04
098,16,2,canonical,canonical,0.2,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_098_oc_hc_lam0p20_lr1em04
099,16,3,canonical,canonical,0.4,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_099_oc_hc_lam0p40_lr1em04
100,16,4,canonical,canonical,0.6,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_100_oc_hc_lam0p60_lr1em04
101,16,5,canonical,canonical,1,0.0001,1.0,1.50,120,0,60,2000,3.0,cfg_101_oc_hc_lam1p00_lr1em04
102,17,0,canonical,canonical,0.05,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_102_oc_hc_lam0p05_lr2em04
103,17,1,canonical,canonical,0.1,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_103_oc_hc_lam0p10_lr2em04
104,17,2,canonical,canonical,0.2,0.0002,1.0,1.50,120,0,60,2000,3.0,cfg_104_oc_hc_lam0p20_lr2em04
